trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.02384237450863,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-108.04961289036814,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,10,-54.65350947526137,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,16,-50.34263161070055,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-150.8753500203857,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-105.11896994344033,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-113.0000696547271,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-149.65243708356962,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-120.99109634284532,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-27.090603801206413,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,16,9.082117448886748,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-121.07257077126299,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-157.5749161243335,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-168.82721383283257,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-128.8976089572674,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-137.26536024794342,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-130.74719051265333,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-81.37485079420031,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-258.6462537100636,"{0: 12, 1: 7, 2: 6, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-103.23561961925802,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-130.86992929278384,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-102.02178690365872,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-43.71169685440681,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-191.34568290749948,"{0: 14, 1: 7, 2: 5, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-70.57545729428114,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-93.30850882516293,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-50.979137778025766,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-83.2456174469869,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,7,-79.1420173178959,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,-143.12533475743024,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
