trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.9681520039358,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,7.849900558002879,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-58.1511320297736,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9851119396030626}",25,0,14.878653473977534,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-33.09305448466927,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-14.053560550410058,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-27.91516720740296,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9656054162575665}",25,0,-104.37709289056735,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-3.4080132877392066,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9559974818331}",30,10,26.813853337560058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-44.64290378074925,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,0,31.027966192398072,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,10,0.834551385698468,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,11,15.986866667717152,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,8,-24.651352714018742,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,3,5.75217052319863,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-16.18398684971924,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,12.382653574545222,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
