trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.75261301451573,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,6,-46.2905357134954,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9603999999999999}",25,0,-126.18363919486673,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9411919999999999}",20,0,-36.98296803706259,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9223681599999999}",25,0,-74.07703792933177,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9039207967999998}",20,0,-46.281092779062355,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8858423808639998}",20,0,-21.677347288460865,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8681255332467198}",20,0,22.53465538875186,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.8507630225817854}",20,0,-11.957515833950113,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8337477621301497}",30,8,7.850463168675352,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,12,14.024951257760495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8007313507497957}",25,0,23.374079648038386,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-52.88769673867998,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7690223892601038}",25,0,5.316915393656021,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7536419414749017}",20,0,-17.007827594478464,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7385691026454037}",35,0,3.3133058535179742,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,14,8.573624650849979,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.7093217661806457}",35,24,20.7114918799588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,2,12.874638206916293,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.6812326242398921}",30,0,-11.869451196995714,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.6676079717550942}",25,0,38.20222126798265,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.6542558123199923}",20,16,7.695313493397558,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,0,-14.035118053637275,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6283472821521205}",20,0,27.60103265017168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6157803365090782}",25,0,31.2547374591916,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.6034647297788965}",20,3,21.135233468608558,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.5913954351833186}",25,13,13.453935324206807,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5795675264796523}",20,0,-15.631187664652709,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,0,-61.47388376061307,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,0,-13.300049066447526,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.5454843193824369}",20,12,16.52715178203671,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,1,32.35513161816485,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,0,25.03269426814506,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.5134054775281945}",25,0,33.1921296915001,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.5031373679776306}",25,15,18.142443848551647,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.493074620618078}",30,22,13.53508392250485,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,0,-18.497512903467673,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,0,-24.3996401567291,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.46407788832877006}",20,9,18.83602272838918,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.45479633056219465}",25,0,36.629487168740084,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44570040395095073}",35,10,-16.34460710408274,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.4367863958719317}",20,8,16.909375415066254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.42805066795449304}",30,0,32.489339777959025,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.41948965459540316}",30,13,28.095482166010846,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,11,19.524085948672077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,0,16.08140727733307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
